Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
0.0,0.4,0.1666666666666666,0.3333333333333333,0.0777472436112547,0.4954310687326182,0.0799698664271433,0.040813444428753,0.1186440677966101,0.6041358936484491
0.0,0.8,0.5,0.3333333333333333,0.1605220435520003,0.5828367103694875,0.1529278822472691,0.0487925434260697,0.2711864406779661,0.4815361890694239
0.0,0.8,0.3333333333333333,0.3333333333333333,0.0301623147921409,0.2701628923321414,0.0507924550169501,0.0748481852845643,0.1610169491525423,0.430576070901034
0.0,1.0,0.1666666666666666,0.3333333333333333,0.3939723741372587,0.4596742153357171,0.3856517833859705,0.0492162123993786,0.0932203389830508,0.6506646971935008
0.0,0.8,0.3333333333333333,0.0,0.590751473046796,0.7151370679380215,0.5556167241329354,0.0471684790283858,0.1440677966101695,0.6654357459379617
0.0,0.2,0.5,0.5,0.0,0.0,0.041587228001043,0.0128512921903685,0.0508474576271186,0.4224519940915805
0.0,0.4,0.5,0.3333333333333333,0.0318552982825287,0.6197854588796186,0.0269173934459479,0.043496681259709,0.1101694915254237,0.2400295420974889
0.0,0.6,0.3333333333333333,0.5,0.325860020497193,0.0,0.3538956335293947,0.0423668973308854,0.0932203389830508,0.5332348596750369
0.0,1.0,0.1666666666666666,0.3333333333333333,0.191358528555492,0.6630909813269765,0.1766290962825601,0.0382008190933483,0.1016949152542373,0.5945347119645495
0.0,0.6,0.1666666666666666,0.3333333333333333,0.4034651744226473,0.5458879618593564,0.3884623185466346,0.0485100974438638,0.1101694915254237,0.9394387001477106
0.0,0.4,0.5,0.3333333333333333,0.2653358607158297,0.4012713547874453,0.2666241706023817,0.0984324247987572,0.2542372881355932,0.7178729689807977
0.0,1.0,0.0,0.0,0.1011769258442999,0.5411203814064363,0.0990930953553733,0.0377771501200395,0.2372881355932203,0.6440177252584934
0.0,1.0,0.3333333333333333,0.3333333333333333,0.336078385135605,0.6738180373460468,0.3145481412800973,0.0551475780257025,0.1186440677966101,0.5066469719350074
0.0,0.6,0.3333333333333333,0.1666666666666666,0.0629336380703616,0.7604290822407628,0.0464462666241706,0.0633385115096737,0.2796610169491525,0.3360413589364845
0.6666666666666666,0.2,0.5,0.5,0.42308564380232,0.0,0.4470779126705879,0.0321988419714729,0.1016949152542373,0.8655834564254062
0.0,0.4,0.5,0.3333333333333333,0.0675288789728427,0.3520063567739372,0.0806362819807029,0.0673633667561078,0.1525423728813559,0.3899556868537667
