,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,1.0,0.4090909090909091,1.0,0.4,0.2,0.5,0.25,0.0,0.5348837209302325,0.4,0.1666666666666666,0.4,0.0777472436112547,0.4954310687326182,0.0799698664271433,0.9721362229102168,0.0407961603613777,0.1186440677966101,0.6041358936484491,0.3113113113113113
1,1.0,0.3636363636363636,1.0,1.0,0.0,0.0,1.0,0.0,0.4186046511627907,0.8,0.5,0.4,0.1605220435520003,0.5828367103694875,0.1529278822472691,0.5503095975232198,0.0487718802936194,0.2711864406779661,0.4815361890694239,0.2172172172172172
2,1.0,0.7045454545454546,0.0,0.4,0.2,0.5,0.0,0.0,0.813953488372093,0.8,0.3333333333333333,0.4,0.0301623147921409,0.2701628923321414,0.0507924550169501,0.8281733746130031,0.0748164878599661,0.1610169491525423,0.430576070901034,0.2792792792792793
3,1.0,0.4318181818181818,0.0,0.4,0.2,0.5,0.5,0.0,0.5581395348837209,1.0,0.1666666666666666,0.4,0.3939723741372587,0.4596742153357171,0.3856517833859705,0.6547987616099072,0.0491953698475437,0.0932203389830508,0.6506646971935008,0.08008008008008
4,1.0,0.4772727272727273,1.0,0.2,1.0,1.0,0.5,0.0,0.6744186046511628,0.8,0.3333333333333333,0.0,0.590751473046796,0.7151370679380215,0.5556167241329354,0.6083591331269351,0.0471485036702428,0.1440677966101695,0.6654357459379617,0.086086086086086
5,0.0,0.8181818181818182,0.0,0.0,0.2,0.5,0.0,0.0,0.8372093023255814,0.2,0.5,0.6,0.0,0.0,0.041587228001043,0.7174922600619196,0.0128458498023715,0.0508474576271186,0.4224519940915805,0.0
6,1.0,0.4772727272727273,0.0,0.8,0.6,0.0,0.0,0.0,0.5348837209302325,0.4,0.5,0.4,0.0318552982825287,0.6197854588796186,0.0269173934459479,0.3506191950464396,0.0434782608695652,0.1101694915254237,0.2400295420974889,0.6266266266266266
7,1.0,0.6363636363636364,1.0,0.4,0.2,0.5,0.5,0.0,0.6744186046511628,0.6,0.3333333333333333,0.6,0.325860020497193,0.0,0.3538956335293947,0.7391640866873066,0.0423489553924336,0.0932203389830508,0.5332348596750369,0.0
8,1.0,0.3409090909090909,0.0,0.6,0.2,0.0,0.0,0.0,0.3488372093023256,1.0,0.1666666666666666,0.4,0.191358528555492,0.6630909813269765,0.1766290962825601,0.5239938080495358,0.038184641445511,0.1016949152542373,0.5945347119645495,0.2152152152152152
9,1.0,0.75,1.0,0.2,0.4,0.5,0.25,0.0,0.7674418604651163,0.6,0.1666666666666666,0.4,0.4034651744226473,0.5458879618593564,0.3884623185466346,0.6199690402476782,0.0484895539243365,0.1101694915254237,0.9394387001477106,0.093093093093093
10,1.0,0.8409090909090909,1.0,0.2,0.4,0.5,0.5,0.0,1.0,0.4,0.5,0.4,0.2653358607158297,0.4012713547874453,0.2666241706023817,0.5595975232198143,0.0983907396950875,0.2542372881355932,0.7178729689807977,0.0990990990990991
11,1.0,0.4772727272727273,1.0,0.8,0.4,0.5,0.25,0.0,0.6744186046511628,1.0,0.0,0.0,0.1011769258442999,0.5411203814064363,0.0990930953553733,0.4791021671826626,0.0377611518915866,0.2372881355932203,0.6440177252584934,0.2852852852852852
12,1.0,0.7272727272727273,1.0,0.0,0.2,0.5,0.5,0.0,0.8372093023255814,1.0,0.3333333333333333,0.4,0.336078385135605,0.6738180373460468,0.3145481412800973,0.3088235294117648,0.0551242236024844,0.1186440677966101,0.5066469719350074,0.1351351351351351
13,1.0,0.6590909090909091,0.0,0.2,0.6,0.0,0.0,0.0,0.5348837209302325,0.6,0.3333333333333333,0.2,0.0629336380703616,0.7604290822407628,0.0464462666241706,0.3018575851393189,0.0633116883116883,0.2796610169491525,0.3360413589364845,0.5445445445445446
14,1.0,0.3636363636363636,0.0,0.8,0.4,0.5,0.0,0.6666666666666666,0.5348837209302325,0.2,0.5,0.6,0.42308564380232,0.0,0.4470779126705879,0.5766253869969041,0.0321852060982495,0.1016949152542373,0.8655834564254062,0.0
15,1.0,0.7045454545454546,0.0,0.2,0.2,0.5,0.25,0.0,0.8372093023255814,0.4,0.5,0.4,0.0675288789728427,0.3520063567739372,0.0806362819807029,0.928792569659443,0.0673348390739695,0.1525423728813559,0.3899556868537667,0.2412412412412412
16,0.0,0.9090909090909092,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.8,0.6666666666666666,0.6,0.1948049592323529,0.2403655145013905,0.2107611624605221,0.7213622291021673,0.0136928289102202,0.0508474576271186,0.0849335302806499,0.077077077077077
17,1.0,0.4318181818181818,1.0,0.6,0.2,0.0,0.5,0.0,0.6511627906976745,0.2,0.3333333333333333,0.4,0.9368154375908846,0.2296384584823202,0.9226957957870948,0.713622291021672,0.0422783738001129,0.1525423728813559,0.3293943870014771,0.018018018018018
18,1.0,0.5681818181818182,1.0,0.4,0.2,0.5,0.25,0.0,0.7209302325581395,0.6,0.1666666666666666,0.0,0.1441061500648473,0.8756456098529996,0.1158404079622171,0.5286377708978329,0.0590767927724449,0.1525423728813559,0.3899556868537667,0.3553553553553553
