,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
0,768805383,0,0.40425531914893614,1,3,1,0,2,0,0.6046511627906976,5,1,3,0.3401899164694039,0.30870083432657924,0.34511633297598004,0.39299381807477185,0.03527317236007566,0.24806201550387597,0.4375336564351104,0.06106106106106106,8.582050235648389e-05,0.999919965586803
1,818770008,0,0.48936170212765956,0,5,3,1,0,0,0.7209302325581395,6,1,2,0.2061116704002999,0.3432657926102503,0.21409324022831977,0.4536355607889314,0.043451652386780906,0.17829457364341086,1.0,0.1051051051051051,4.9217848711895095e-05,0.9999499784917519
2,713982108,0,0.5319148936170213,1,3,3,0,3,0,0.5348837209302325,4,1,0,0.05984998957001243,0.0,0.09894822240894735,0.7636149543715043,0.07661065984199399,0.07751937984496124,0.628163704900377,0.0,1.3422540339976464e-05,0.9999899956983503
3,769911858,0,0.2978723404255319,0,4,1,,0,0,0.4883720930232558,3,4,1,0.056675645525535334,1.0,0.02297684930316113,0.4136002355019135,0.036775342160899074,0.07751937984496124,0.628163704900377,0.7607607607607608,0.00012604970694708175,0.9998799483802046
4,709106358,0,0.2978723404255319,1,3,0,0,2,0,0.18604651162790697,5,1,0,0.09909092832935786,0.0,0.1365572393011329,0.640270827200471,0.017024591075998664,0.13953488372093023,0.6731287022078621,0.0,1.401779490904554e-05,0.9999899956983503
5,713061558,0,0.3829787234042553,1,2,3,0,1,0,0.5348837209302325,3,1,2,0.07774724361125471,0.4954310687326182,0.07996986642714339,0.4050632911392405,0.03215756092133081,0.10852713178294573,0.22778675282714053,0.3113113113113113,4.7433085432535034e-05,0.9999499784917519
6,810347208,0,0.5319148936170213,1,4,,0,4,2,0.7674418604651163,6,1,3,1.0,0.8994835121176004,0.9344015298583143,0.5813953488372093,0.0456214532101925,0.16279069767441862,0.19439956919763057,0.06606606606606608,0.00011541515893161234,0.9998899526818541
7,818906208,0,0.1276595744680851,1,0,1,,2,1,0.32558139534883723,2,2,2,0.8356899058882571,0.5546285260230434,0.8020745805928201,0.6488077715631441,0.057193724268387675,0.20155038759689922,0.19224555735056542,0.04804804804804805,7.816422804205423e-05,0.999919965586803
8,710930508,0,0.23404255319148937,1,3,0,1,2,0,0.5348837209302325,5,2,0,0.6322598004093393,1.0,0.5746240547040246,0.9876361495437151,0.0467341715811728,0.10852713178294573,0.3182552504038772,0.11311311311311312,3.7147686735729686e-05,0.999969987095051
9,719661558,0,0.46808510638297873,1,2,3,1,3,0,0.5348837209302325,6,3,3,0.30889995374527257,0.66626936829559,0.2890505027091241,0.4486311451280542,0.05179704016913319,0.17054263565891473,0.23747980613893377,0.14414414414414414,0.00029497194894256693,0.9997098752521609
